prov_ubi;cant_ubi;parr_ubi;area_ubi;clase;tipo;entidad;sector;dotmedic;dismedic;dotcirug;discirug;dotginob;disginob;dotped;disped;dotneon;disneon;dotcardi;discardi;dotneumo;disneumo;dotpsiqu;dispsiqu;dottraum;distraum;dotinfec;disinfec;dotofta;disofta;dotootorri;disootorri;doturolo;disurolo;dotgast;disgast;dotquem;disquem;dotneuro;disneuro;dotnefro;disnefro;dotonco;disonco;dothema;dishema;dototrse;disotrse;dotserin;disserin;camas_dnor;camas_disp;dotemerg;dotcinteadult;dotcintepediatri;dotcinteneonat;dotcintrm;dotcrecup;dototrapo;dia_estad;dias_cdis;totegres;falmen48;falmas48
05;0505;050550;1;1;5;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;0;0;0;0;0;0;0;324;2920;204;0;0
12;1205;120501;1;1;5;18;2;8;8;2;2;2;2;2;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;0;0;0;0;0;0;0;1317;6205;537;0;1
18;1801;180105;1;1;5;18;2;1;1;2;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;2;1;1;1;0;0;2;944;5840;494;0;0
06;0601;060101;1;1;5;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;0;0;0;0;0;0;0;1163;2920;682;3;3
18;1801;180163;2;1;5;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;14;14;1;0;0;0;0;1;0;472;5110;238;0;0
18;1801;180109;1;1;5;18;2;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;706;2920;389;0;0
23;2301;230102;1;1;5;18;2;1;1;4;4;4;4;6;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;1;0;0;0;0;0;0;15;1459;8;0;0
02;0201;020102;1;32;1;18;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;6;0;0;0;0;0;0;0;278;2196;154;1;0
18;1801;180109;1;1;5;18;2;3;3;5;5;2;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;1;1;0;1;0;0;0;705;4745;527;1;0
09;0910;091050;1;1;5;18;2;0;0;0;0;3;3;5;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;31;31;3;2;0;0;0;3;0;2305;11284;1097;0;0
12;1205;120501;1;1;5;18;2;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;10;10;2;2;0;0;0;0;0;193;3650;163;1;0
18;1801;180107;1;1;5;18;2;0;0;0;0;0;0;2;2;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;30;30;0;3;0;2;0;2;0;1980;10950;1056;2;2
01;0101;010105;1;2;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;2;0;0;0;0;2;2;1205;4745;455;2;6
09;0901;090112;1;2;1;18;2;49;49;0;0;11;11;36;36;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;101;0;0;0;0;0;0;0;11720;36865;3536;8;38
11;1101;110101;1;2;1;18;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;27;29;29;5;3;0;0;0;0;0;6088;10585;2442;5;13
17;1701;170129;1;1;5;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;4;0;0;0;0;1;0;499;2555;251;0;1
17;1701;170106;1;10;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;46;0;0;51;46;0;0;0;0;0;0;0;14667;16867;1534;97;214
09;0901;090104;1;11;1;1;1;54;53;22;21;6;6;0;0;0;0;22;24;0;0;6;3;23;23;4;4;0;0;0;0;6;6;20;19;0;0;12;12;12;12;12;12;12;13;39;39;0;0;250;247;31;21;0;0;12;0;20;91993;90060;9685;152;804
17;1701;170113;1;11;1;1;1;37;33;33;29;9;10;0;0;0;0;16;16;20;20;0;0;57;51;0;0;12;12;9;9;18;18;18;18;18;16;46;43;0;0;25;25;12;12;95;92;0;0;425;404;36;23;0;0;14;0;17;113386;147023;14267;23;240
17;1701;170113;1;11;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;189;224;189;9;10;0;6;0;18;0;48554;69079;8777;38;161
09;0901;090114;1;11;1;6;1;11;10;40;30;31;31;0;0;48;48;31;28;14;12;15;14;31;25;4;5;7;7;9;9;15;14;28;27;0;0;0;0;0;0;0;0;0;0;26;22;0;0;310;282;56;45;0;0;0;0;6;116306;143828;18913;23;178
09;0901;090112;1;2;1;13;3;0;0;0;0;123;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;102;8;9;0;0;0;26;0;40001;37395;10879;3;3
12;1201;120101;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;2;0;0;0;0;0;0;134;3380;123;0;0
12;1210;121050;1;32;1;18;2;0;0;7;7;6;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;17;17;2;0;0;0;1;0;0;326;6205;277;0;0
09;0908;090850;1;32;1;18;2;2;2;2;3;2;3;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;135;3284;130;0;0
12;1207;120750;1;32;1;18;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;9;9;0;0;0;0;0;0;0;51;3285;49;0;0
12;1210;121050;1;32;1;18;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;17;17;2;0;0;0;0;0;0;578;6239;505;2;0
12;1205;120504;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;12;0;0;0;0;0;0;0;14;4380;14;0;0
12;1210;121050;1;32;1;18;2;7;7;1;1;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;2;1;0;0;0;0;0;53;1619;45;0;0
12;1210;121050;1;32;1;18;2;0;0;0;0;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;12;12;0;0;0;0;0;0;0;54;4380;35;1;0
12;1208;120802;1;32;1;18;2;0;0;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;770;2555;473;0;1
13;1304;130401;1;1;5;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;0;0;0;105;2190;73;0;0
09;0908;090850;1;32;1;18;2;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;227;2920;219;1;0
09;0921;092150;1;32;1;17;3;4;4;3;3;3;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;67;601;30;0;0
12;1205;120501;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;12;0;2;0;0;0;0;0;131;4700;112;0;1
23;2301;230105;1;32;1;18;2;1;1;1;1;2;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;2;0;0;0;0;0;2;114;2920;84;0;0
09;0919;091950;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;0;0;0;0;0;0;0;369;2920;239;0;0
07;0701;070101;1;12;3;18;2;4;4;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;10;10;0;0;0;0;0;0;0;96;3650;96;0;0
12;1208;120850;1;32;1;18;2;9;9;5;5;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;0;0;0;0;0;0;0;1748;6249;1178;0;0
12;1204;120452;2;32;1;18;2;5;5;2;2;0;0;0;0;3;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;1;0;0;0;0;0;0;310;3554;164;0;0
09;0916;091650;1;32;1;18;2;6;6;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;134;3230;134;0;0
12;1201;120102;1;32;1;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;1;0;0;0;0;1;0;91;896;51;1;0
